c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
109,63492,28788,97124,99769,57576,99769,136620,36851,172447
110,63491,28787,97122,99767,57574,99767,136615,36848,172445
111,63490,28786,97120,99764,57572,99764,136610,36846,172444
112,63489,28785,97119,99762,57570,99762,136605,36843,172443
113,63488,28784,97117,99760,57568,99760,136600,36840,172441
114,63487,28783,97115,99758,57566,99758,136595,36837,172440
115,63486,28782,97114,99756,57564,99756,136590,36834,172438
116,63485,28781,97112,99754,57562,99754,136585,36831,172437
117,63484,28780,97110,99752,57560,99752,136580,36828,172435
118,63483,28779,97109,99750,57558,99750,136575,36825,172434
119,63482,28778,97107,99748,57556,99748,136570,36822,172432
120,63481,28777,97105,99746,57554,99746,136565,36819,172431
121,63480,28776,97104,99744,57552,99744,136560,36816,172429
122,63479,28775,97102,99742,57550,99742,136555,36813,172428
123,63478,28774,97100,99739,57548,99739,136550,36811,172427
124,63477,28773,97098,99737,57546,99737,136545,36808,172425
125,63476,28772,97097,99735,57544,99735,136540,36805,172424
126,63475,28771,97095,99733,57542,99733,136535,36802,172422
127,63474,28770,97093,99731,57540,99731,136530,36799,172421
128,63473,28769,97092,99729,57538,99729,136525,36796,172419
129,63472,28768,97090,99727,57536,99727,136520,36793,172418
130,63471,28767,97088,99725,57534,99725,136515,36790,172416
131,63470,28766,97087,99723,57532,99723,136510,36787,172415
132,63469,28765,97085,99721,57530,99721,136505,36784,172413
133,63468,28764,97083,99719,57528,99719,136500,36781,172412
134,63467,28763,97082,99717,57526,99717,136495,36778,172410
135,63466,28762,97080,99715,57524,99715,136490,36775,172409
136,63465,28761,97078,99712,57522,99712,136485,36773,172408
137,63464,28760,97077,99710,57520,99710,136480,36770,172406
138,63463,28759,97075,99708,57518,99708,136475,36767,172405
139,63462,28758,97073,99706,57516,99706,136470,36764,172403
140,63461,28757,97071,99704,57514,99704,136465,36761,172402
141,63460,28756,97070,99702,57512,99702,136460,36758,172400
142,63459,28755,97068,99700,57510,99700,136455,36755,172399
143,63458,28754,97066,99698,57508,99698,136450,36752,172397
144,63457,28753,97065,99696,57506,99696,136445,36749,172396
145,63456,28752,97063,99694,57504,99694,136440,36746,172394
146,63455,28751,97061,99692,57502,99692,136435,36743,172393
147,63454,28750,97060,99690,57500,99690,136430,36740,172391
148,63453,28749,97058,99687,57498,99687,136425,36738,172390
149,63452,28748,97056,99685,57496,99685,136420,36735,172389
150,63451,28747,97055,99683,57494,99683,136415,36732,172387
151,63450,28746,97053,99681,57492,99681,136410,36729,172386
152,63449,28745,97051,99679,57490,99679,136405,36726,172384
153,63448,28744,97050,99677,57488,99677,136400,36723,172383
154,63447,28743,97048,99675,57486,99675,136395,36720,172381
155,63446,28742,97046,99673,57484,99673,136390,36717,172380
156,63445,28741,97044,99671,57482,99671,136385,36714,172378
157,63444,28740,97043,99669,57480,99669,136380,36711,172377
158,63443,28739,97041,99667,57478,99667,136375,36708,172375
159,63442,28738,97039,99665,57476,99665,136370,36705,172374
160,63441,28737,97038,99662,57474,99662,136365,36703,172373
161,63440,28736,97036,99660,57472,99660,136360,36700,172371
162,63439,28735,97034,99658,57470,99658,136355,36697,172370
163,63438,28734,97033,99656,57468,99656,136350,36694,172368
164,63437,28733,97031,99654,57466,99654,136345,36691,172367
165,63436,28732,97029,99652,57464,99652,136340,36688,172365
166,63435,28731,97028,99650,57462,99650,136335,36685,172364
167,63434,28730,97026,99648,57460,99648,136330,36682,172362
168,63433,28729,97024,99646,57458,99646,136325,36679,172361
169,63432,28728,97022,99644,57456,99644,136320,36676,172359
170,63431,28727,97021,99642,57454,99642,136315,36673,172358
171,63430,28726,97019,99640,57452,99640,136310,36670,172356
172,63429,28725,97017,99637,57450,99637,136305,36668,172355
173,63428,28724,97016,99635,57448,99635,136300,36665,172354
174,63427,28723,97014,99633,57446,99633,136295,36662,172352
175,63426,28722,97012,99631,57444,99631,136290,36659,172351
176,63425,28721,97011,99629,57442,99629,136285,36656,172349
177,63424,28720,97009,99627,57440,99627,136280,36653,172348
178,63423,28719,97007,99625,57438,99625,136275,36650,172346
179,63422,28718,97006,99623,57436,99623,136270,36647,172345
180,63421,28717,97004,99621,57434,99621,136265,36644,172343
181,63420,28716,97002,99619,57432,99619,136260,36641,172342
182,63419,28715,97001,99617,57430,99617,136255,36638,172340
183,63418,28714,96999,99615,57428,99615,136250,36635,172339
184,63417,28713,96997,99612,57426,99612,136245,36633,172338
185,63416,28712,96995,99610,57424,99610,136240,36630,172336
186,63415,28711,96994,99608,57422,99608,136235,36627,172335
187,63414,28710,96992,99606,57420,99606,136230,36624,172333
188,63413,28709,96990,99604,57418,99604,136225,36621,172332
189,63412,28708,96989,99602,57416,99602,136220,36618,172330
190,63411,28707,96987,99600,57414,99600,136215,36615,172329
191,63410,28706,96985,99598,57412,99598,136210,36612,172327
192,63409,28705,96984,99596,57410,99596,136205,36609,172326
193,63408,28704,96982,99594,57408,99594,136200,36606,172324
194,63407,28703,96980,99592,57406,99592,136195,36603,172323
195,63406,28702,96979,99590,57404,99590,136190,36600,172321
196,63405,28701,96977,99587,57402,99587,136185,36598,172320
197,63404,28700,96975,99585,57400,99585,136180,36595,172319
198,63403,28699,96974,99583,57398,99583,136175,36592,172317
199,63402,28698,96972,99581,57396,99581,136170,36589,172316
200,63401,28697,96970,99579,57394,99579,136165,36586,172314
201,63400,28696,96968,99577,57392,99577,136160,36583,172313
202,63399,28695,96967,99575,57390,99575,136155,36580,172311
203,63398,28694,96965,99573,57388,99573,136150,36577,172310
204,63397,28693,96963,99571,57386,99571,136145,36574,172308
205,63396,28692,96962,99569,57384,99569,136140,36571,172307
206,63395,28691,96960,99567,57382,99567,136135,36568,172305
207,63394,28690,96958,99565,57380,99565,136130,36565,172304
208,63393,28689,96957,99562,57378,99562,136125,36563,172303
209,63392,28688,96955,99560,57376,99560,136120,36560,172301
210,63391,28687,96953,99558,57374,99558,136115,36557,172300
211,63390,28686,96952,99556,57372,99556,136110,36554,172298
212,63389,28685,96950,99554,57370,99554,136105,36551,172297
213,63388,28684,96948,99552,57368,99552,136100,36548,172295
214,63387,28683,96946,99550,57366,99550,136095,36545,172294
215,63386,28682,96945,99548,57364,99548,136090,36542,172292
216,63385,28681,96943,99546,57362,99546,136085,36539,172291
217,63384,28680,96941,99544,57360,99544,136080,36536,172289
218,63383,28679,96940,99542,57358,99542,136075,36533,172288
219,63382,28678,96938,99540,57356,99540,136070,36530,172286
220,63381,28677,96936,99537,57354,99537,136065,36528,172285
221,63380,28676,96935,99535,57352,99535,136060,36525,172284
222,63379,28675,96933,99533,57350,99533,136055,36522,172282
223,63378,28674,96931,99531,57348,99531,136050,36519,172281
224,63377,28673,96930,99529,57346,99529,136045,36516,172279
225,63376,28672,96928,99527,57344,99527,136040,36513,172278
226,63375,28671,96926,99525,57342,99525,136035,36510,172276
227,63374,28670,96925,99523,57340,99523,136030,36507,172275
228,63373,28669,96923,99521,57338,99521,136025,36504,172273
229,63372,28668,96921,99519,57336,99519,136020,36501,172272
