c,r,lam,k3,k4,twice_lam,j,pr930_wall,removed_width,support_floor
3850,59751,25047,90594,91784,50094,91784,117915,26131,167087
3851,59750,25046,90592,91782,50092,91782,117910,26128,167085
3852,59749,25045,90590,91779,50090,91779,117905,26126,167084
3853,59748,25044,90588,91777,50088,91777,117900,26123,167083
3854,59747,25043,90586,91775,50086,91775,117895,26120,167081
3855,59746,25042,90584,91773,50084,91773,117890,26117,167080
3856,59745,25041,90583,91771,50082,91771,117885,26114,167078
3857,59744,25040,90581,91768,50080,91768,117880,26112,167077
3858,59743,25039,90579,91766,50078,91766,117875,26109,167076
3859,59742,25038,90577,91764,50076,91764,117870,26106,167074
3860,59741,25037,90575,91762,50074,91762,117865,26103,167073
3861,59740,25036,90574,91760,50072,91760,117860,26100,167071
3862,59739,25035,90572,91757,50070,91757,117855,26098,167070
3863,59738,25034,90570,91755,50068,91755,117850,26095,167069
3864,59737,25033,90568,91753,50066,91753,117845,26092,167067
3865,59736,25032,90566,91751,50064,91751,117840,26089,167066
3866,59735,25031,90565,91749,50062,91749,117835,26086,167064
3867,59734,25030,90563,91746,50060,91746,117830,26084,167063
3868,59733,25029,90561,91744,50058,91744,117825,26081,167062
3869,59732,25028,90559,91742,50056,91742,117820,26078,167060
3870,59731,25027,90557,91740,50054,91740,117815,26075,167059
3871,59730,25026,90556,91738,50052,91738,117810,26072,167057
3872,59729,25025,90554,91735,50050,91735,117805,26070,167056
3873,59728,25024,90552,91733,50048,91733,117800,26067,167055
3874,59727,25023,90550,91731,50046,91731,117795,26064,167053
3875,59726,25022,90548,91729,50044,91729,117790,26061,167052
3876,59725,25021,90546,91727,50042,91727,117785,26058,167050
3877,59724,25020,90545,91725,50040,91725,117780,26055,167049
3878,59723,25019,90543,91722,50038,91722,117775,26053,167048
3879,59722,25018,90541,91720,50036,91720,117770,26050,167046
3880,59721,25017,90539,91718,50034,91718,117765,26047,167045
3881,59720,25016,90537,91716,50032,91716,117760,26044,167043
3882,59719,25015,90536,91714,50030,91714,117755,26041,167042
3883,59718,25014,90534,91711,50028,91711,117750,26039,167041
3884,59717,25013,90532,91709,50026,91709,117745,26036,167039
3885,59716,25012,90530,91707,50024,91707,117740,26033,167038
3886,59715,25011,90528,91705,50022,91705,117735,26030,167036
3887,59714,25010,90527,91703,50020,91703,117730,26027,167035
3888,59713,25009,90525,91700,50018,91700,117725,26025,167034
3889,59712,25008,90523,91698,50016,91698,117720,26022,167032
3890,59711,25007,90521,91696,50014,91696,117715,26019,167031
3891,59710,25006,90519,91694,50012,91694,117710,26016,167029
3892,59709,25005,90518,91692,50010,91692,117705,26013,167028
3893,59708,25004,90516,91689,50008,91689,117700,26011,167027
3894,59707,25003,90514,91687,50006,91687,117695,26008,167025
3895,59706,25002,90512,91685,50004,91685,117690,26005,167024
3896,59705,25001,90510,91683,50002,91683,117685,26002,167022
3897,59704,25000,90508,91681,50000,91681,117680,25999,167021
3898,59703,24999,90507,91678,49998,91678,117675,25997,167020
3899,59702,24998,90505,91676,49996,91676,117670,25994,167018
3900,59701,24997,90503,91674,49994,91674,117665,25991,167017
3901,59700,24996,90501,91672,49992,91672,117660,25988,167015
3902,59699,24995,90499,91670,49990,91670,117655,25985,167014
3903,59698,24994,90498,91668,49988,91668,117650,25982,167012
3904,59697,24993,90496,91665,49986,91665,117645,25980,167011
3905,59696,24992,90494,91663,49984,91663,117640,25977,167010
3906,59695,24991,90492,91661,49982,91661,117635,25974,167008
3907,59694,24990,90490,91659,49980,91659,117630,25971,167007
3908,59693,24989,90489,91657,49978,91657,117625,25968,167005
3909,59692,24988,90487,91654,49976,91654,117620,25966,167004
3910,59691,24987,90485,91652,49974,91652,117615,25963,167003
3911,59690,24986,90483,91650,49972,91650,117610,25960,167001
3912,59689,24985,90481,91648,49970,91648,117605,25957,167000
3913,59688,24984,90480,91646,49968,91646,117600,25954,166998
3914,59687,24983,90478,91643,49966,91643,117595,25952,166997
3915,59686,24982,90476,91641,49964,91641,117590,25949,166996
3916,59685,24981,90474,91639,49962,91639,117585,25946,166994
3917,59684,24980,90472,91637,49960,91637,117580,25943,166993
3918,59683,24979,90470,91635,49958,91635,117575,25940,166991
3919,59682,24978,90469,91632,49956,91632,117570,25938,166990
3920,59681,24977,90467,91630,49954,91630,117565,25935,166989
3921,59680,24976,90465,91628,49952,91628,117560,25932,166987
3922,59679,24975,90463,91626,49950,91626,117555,25929,166986
3923,59678,24974,90461,91624,49948,91624,117550,25926,166984
3924,59677,24973,90460,91621,49946,91621,117545,25924,166983
3925,59676,24972,90458,91619,49944,91619,117540,25921,166982
3926,59675,24971,90456,91617,49942,91617,117535,25918,166980
3927,59674,24970,90454,91615,49940,91615,117530,25915,166979
3928,59673,24969,90452,91613,49938,91613,117525,25912,166977
3929,59672,24968,90451,91610,49936,91610,117520,25910,166976
3930,59671,24967,90449,91608,49934,91608,117515,25907,166975
3931,59670,24966,90447,91606,49932,91606,117510,25904,166973
3932,59669,24965,90445,91604,49930,91604,117505,25901,166972
3933,59668,24964,90443,91602,49928,91602,117500,25898,166970
3934,59667,24963,90441,91600,49926,91600,117495,25895,166969
3935,59666,24962,90440,91597,49924,91597,117490,25893,166968
3936,59665,24961,90438,91595,49922,91595,117485,25890,166966
3937,59664,24960,90436,91593,49920,91593,117480,25887,166965
3938,59663,24959,90434,91591,49918,91591,117475,25884,166963
3939,59662,24958,90432,91589,49916,91589,117470,25881,166962
3940,59661,24957,90431,91586,49914,91586,117465,25879,166961
3941,59660,24956,90429,91584,49912,91584,117460,25876,166959
3942,59659,24955,90427,91582,49910,91582,117455,25873,166958
3943,59658,24954,90425,91580,49908,91580,117450,25870,166956
3944,59657,24953,90423,91578,49906,91578,117445,25867,166955
3945,59656,24952,90422,91575,49904,91575,117440,25865,166954
3946,59655,24951,90420,91573,49902,91573,117435,25862,166952
3947,59654,24950,90418,91571,49900,91571,117430,25859,166951
3948,59653,24949,90416,91569,49898,91569,117425,25856,166949
3949,59652,24948,90414,91567,49896,91567,117420,25853,166948
3950,59651,24947,90412,91564,49894,91564,117415,25851,166947
3951,59650,24946,90411,91562,49892,91562,117410,25848,166945
3952,59649,24945,90409,91560,49890,91560,117405,25845,166944
3953,59648,24944,90407,91558,49888,91558,117400,25842,166942
3954,59647,24943,90405,91556,49886,91556,117395,25839,166941
3955,59646,24942,90403,91553,49884,91553,117390,25837,166940
3956,59645,24941,90402,91551,49882,91551,117385,25834,166938
3957,59644,24940,90400,91549,49880,91549,117380,25831,166937
3958,59643,24939,90398,91547,49878,91547,117375,25828,166935
3959,59642,24938,90396,91545,49876,91545,117370,25825,166934
3960,59641,24937,90394,91542,49874,91542,117365,25823,166933
3961,59640,24936,90393,91540,49872,91540,117360,25820,166931
3962,59639,24935,90391,91538,49870,91538,117355,25817,166930
3963,59638,24934,90389,91536,49868,91536,117350,25814,166928
3964,59637,24933,90387,91534,49866,91534,117345,25811,166927
3965,59636,24932,90385,91531,49864,91531,117340,25809,166926
3966,59635,24931,90383,91529,49862,91529,117335,25806,166924
3967,59634,24930,90382,91527,49860,91527,117330,25803,166923
3968,59633,24929,90380,91525,49858,91525,117325,25800,166921
3969,59632,24928,90378,91523,49856,91523,117320,25797,166920
3970,59631,24927,90376,91520,49854,91520,117315,25795,166919
3971,59630,24926,90374,91518,49852,91518,117310,25792,166917
3972,59629,24925,90373,91516,49850,91516,117305,25789,166916
3973,59628,24924,90371,91514,49848,91514,117300,25786,166914
3974,59627,24923,90369,91512,49846,91512,117295,25783,166913
3975,59626,24922,90367,91510,49844,91510,117290,25780,166911
3976,59625,24921,90365,91507,49842,91507,117285,25778,166910
3977,59624,24920,90364,91505,49840,91505,117280,25775,166909
3978,59623,24919,90362,91503,49838,91503,117275,25772,166907
3979,59622,24918,90360,91501,49836,91501,117270,25769,166906
3980,59621,24917,90358,91499,49834,91499,117265,25766,166904
3981,59620,24916,90356,91496,49832,91496,117260,25764,166903
3982,59619,24915,90354,91494,49830,91494,117255,25761,166902
3983,59618,24914,90353,91492,49828,91492,117250,25758,166900
3984,59617,24913,90351,91490,49826,91490,117245,25755,166899
3985,59616,24912,90349,91488,49824,91488,117240,25752,166897
3986,59615,24911,90347,91485,49822,91485,117235,25750,166896
3987,59614,24910,90345,91483,49820,91483,117230,25747,166895
3988,59613,24909,90344,91481,49818,91481,117225,25744,166893
3989,59612,24908,90342,91479,49816,91479,117220,25741,166892
3990,59611,24907,90340,91477,49814,91477,117215,25738,166890
3991,59610,24906,90338,91474,49812,91474,117210,25736,166889
3992,59609,24905,90336,91472,49810,91472,117205,25733,166888
3993,59608,24904,90335,91470,49808,91470,117200,25730,166886
3994,59607,24903,90333,91468,49806,91468,117195,25727,166885
3995,59606,24902,90331,91466,49804,91466,117190,25724,166883
3996,59605,24901,90329,91463,49802,91463,117185,25722,166882
3997,59604,24900,90327,91461,49800,91461,117180,25719,166881
3998,59603,24899,90325,91459,49798,91459,117175,25716,166879
3999,59602,24898,90324,91457,49796,91457,117170,25713,166878
4000,59601,24897,90322,91455,49794,91455,117165,25710,166876
4001,59600,24896,90320,91452,49792,91452,117160,25708,166875
4002,59599,24895,90318,91450,49790,91450,117155,25705,166874
4003,59598,24894,90316,91448,49788,91448,117150,25702,166872
4004,59597,24893,90315,91446,49786,91446,117145,25699,166871
4005,59596,24892,90313,91444,49784,91444,117140,25696,166869
4006,59595,24891,90311,91441,49782,91441,117135,25694,166868
4007,59594,24890,90309,91439,49780,91439,117130,25691,166867
4008,59593,24889,90307,91437,49778,91437,117125,25688,166865
4009,59592,24888,90306,91435,49776,91435,117120,25685,166864
4010,59591,24887,90304,91433,49774,91433,117115,25682,166862
4011,59590,24886,90302,91430,49772,91430,117110,25680,166861
4012,59589,24885,90300,91428,49770,91428,117105,25677,166860
4013,59588,24884,90298,91426,49768,91426,117100,25674,166858
4014,59587,24883,90296,91424,49766,91424,117095,25671,166857
4015,59586,24882,90295,91422,49764,91422,117090,25668,166855
4016,59585,24881,90293,91419,49762,91419,117085,25666,166854
4017,59584,24880,90291,91417,49760,91417,117080,25663,166853
4018,59583,24879,90289,91415,49758,91415,117075,25660,166851
4019,59582,24878,90287,91413,49756,91413,117070,25657,166850
4020,59581,24877,90286,91411,49754,91411,117065,25654,166848
4021,59580,24876,90284,91408,49752,91408,117060,25652,166847
4022,59579,24875,90282,91406,49750,91406,117055,25649,166846
4023,59578,24874,90280,91404,49748,91404,117050,25646,166844
4024,59577,24873,90278,91402,49746,91402,117045,25643,166843
4025,59576,24872,90276,91400,49744,91400,117040,25640,166841
4026,59575,24871,90275,91397,49742,91397,117035,25638,166840
4027,59574,24870,90273,91395,49740,91395,117030,25635,166839
4028,59573,24869,90271,91393,49738,91393,117025,25632,166837
4029,59572,24868,90269,91391,49736,91391,117020,25629,166836
4030,59571,24867,90267,91389,49734,91389,117015,25626,166834
4031,59570,24866,90266,91387,49732,91387,117010,25623,166833
4032,59569,24865,90264,91384,49730,91384,117005,25621,166832
4033,59568,24864,90262,91382,49728,91382,117000,25618,166830
4034,59567,24863,90260,91380,49726,91380,116995,25615,166829
4035,59566,24862,90258,91378,49724,91378,116990,25612,166827
4036,59565,24861,90257,91376,49722,91376,116985,25609,166826
4037,59564,24860,90255,91373,49720,91373,116980,25607,166825
4038,59563,24859,90253,91371,49718,91371,116975,25604,166823
4039,59562,24858,90251,91369,49716,91369,116970,25601,166822
4040,59561,24857,90249,91367,49714,91367,116965,25598,166820
4041,59560,24856,90247,91365,49712,91365,116960,25595,166819
4042,59559,24855,90246,91362,49710,91362,116955,25593,166818
4043,59558,24854,90244,91360,49708,91360,116950,25590,166816
4044,59557,24853,90242,91358,49706,91358,116945,25587,166815
4045,59556,24852,90240,91356,49704,91356,116940,25584,166813
4046,59555,24851,90238,91354,49702,91354,116935,25581,166812
4047,59554,24850,90237,91351,49700,91351,116930,25579,166811
4048,59553,24849,90235,91349,49698,91349,116925,25576,166809
4049,59552,24848,90233,91347,49696,91347,116920,25573,166808
4050,59551,24847,90231,91345,49694,91345,116915,25570,166806
4051,59550,24846,90229,91343,49692,91343,116910,25567,166805
4052,59549,24845,90227,91340,49690,91340,116905,25565,166804
4053,59548,24844,90226,91338,49688,91338,116900,25562,166802
4054,59547,24843,90224,91336,49686,91336,116895,25559,166801
4055,59546,24842,90222,91334,49684,91334,116890,25556,166799
4056,59545,24841,90220,91332,49682,91332,116885,25553,166798
4057,59544,24840,90218,91329,49680,91329,116880,25551,166797
4058,59543,24839,90217,91327,49678,91327,116875,25548,166795
4059,59542,24838,90215,91325,49676,91325,116870,25545,166794
4060,59541,24837,90213,91323,49674,91323,116865,25542,166792
4061,59540,24836,90211,91321,49672,91321,116860,25539,166791
4062,59539,24835,90209,91318,49670,91318,116855,25537,166790
4063,59538,24834,90207,91316,49668,91316,116850,25534,166788
4064,59537,24833,90206,91314,49666,91314,116845,25531,166787
4065,59536,24832,90204,91312,49664,91312,116840,25528,166785
4066,59535,24831,90202,91310,49662,91310,116835,25525,166784
4067,59534,24830,90200,91307,49660,91307,116830,25523,166783
4068,59533,24829,90198,91305,49658,91305,116825,25520,166781
4069,59532,24828,90197,91303,49656,91303,116820,25517,166780
4070,59531,24827,90195,91301,49654,91301,116815,25514,166778
4071,59530,24826,90193,91299,49652,91299,116810,25511,166777
4072,59529,24825,90191,91296,49650,91296,116805,25509,166776
4073,59528,24824,90189,91294,49648,91294,116800,25506,166774
4074,59527,24823,90188,91292,49646,91292,116795,25503,166773
4075,59526,24822,90186,91290,49644,91290,116790,25500,166771
4076,59525,24821,90184,91288,49642,91288,116785,25497,166770
4077,59524,24820,90182,91285,49640,91285,116780,25495,166769
4078,59523,24819,90180,91283,49638,91283,116775,25492,166767
4079,59522,24818,90178,91281,49636,91281,116770,25489,166766
4080,59521,24817,90177,91279,49634,91279,116765,25486,166764
4081,59520,24816,90175,91277,49632,91277,116760,25483,166763
4082,59519,24815,90173,91274,49630,91274,116755,25481,166762
4083,59518,24814,90171,91272,49628,91272,116750,25478,166760
4084,59517,24813,90169,91270,49626,91270,116745,25475,166759
4085,59516,24812,90168,91268,49624,91268,116740,25472,166757
4086,59515,24811,90166,91266,49622,91266,116735,25469,166756
4087,59514,24810,90164,91263,49620,91263,116730,25467,166755
4088,59513,24809,90162,91261,49618,91261,116725,25464,166753
4089,59512,24808,90160,91259,49616,91259,116720,25461,166752
4090,59511,24807,90158,91257,49614,91257,116715,25458,166750
4091,59510,24806,90157,91255,49612,91255,116710,25455,166749
4092,59509,24805,90155,91252,49610,91252,116705,25453,166748
4093,59508,24804,90153,91250,49608,91250,116700,25450,166746
4094,59507,24803,90151,91248,49606,91248,116695,25447,166745
4095,59506,24802,90149,91246,49604,91246,116690,25444,166743
4096,59505,24801,90148,91244,49602,91244,116685,25441,166742
4097,59504,24800,90146,91241,49600,91241,116680,25439,166741
4098,59503,24799,90144,91239,49598,91239,116675,25436,166739
4099,59502,24798,90142,91237,49596,91237,116670,25433,166738
4100,59501,24797,90140,91235,49594,91235,116665,25430,166736
4101,59500,24796,90138,91233,49592,91233,116660,25427,166735
4102,59499,24795,90137,91230,49590,91230,116655,25425,166734
4103,59498,24794,90135,91228,49588,91228,116650,25422,166732
4104,59497,24793,90133,91226,49586,91226,116645,25419,166731
4105,59496,24792,90131,91224,49584,91224,116640,25416,166729
4106,59495,24791,90129,91222,49582,91222,116635,25413,166728
4107,59494,24790,90128,91219,49580,91219,116630,25411,166727
4108,59493,24789,90126,91217,49578,91217,116625,25408,166725
4109,59492,24788,90124,91215,49576,91215,116620,25405,166724
4110,59491,24787,90122,91213,49574,91213,116615,25402,166722
4111,59490,24786,90120,91211,49572,91211,116610,25399,166721
4112,59489,24785,90118,91208,49570,91208,116605,25397,166720
4113,59488,24784,90117,91206,49568,91206,116600,25394,166718
4114,59487,24783,90115,91204,49566,91204,116595,25391,166717
4115,59486,24782,90113,91202,49564,91202,116590,25388,166715
4116,59485,24781,90111,91200,49562,91200,116585,25385,166714
4117,59484,24780,90109,91197,49560,91197,116580,25383,166713
4118,59483,24779,90108,91195,49558,91195,116575,25380,166711
4119,59482,24778,90106,91193,49556,91193,116570,25377,166710
4120,59481,24777,90104,91191,49554,91191,116565,25374,166708
4121,59480,24776,90102,91189,49552,91189,116560,25371,166707
4122,59479,24775,90100,91186,49550,91186,116555,25369,166706
4123,59478,24774,90098,91184,49548,91184,116550,25366,166704
4124,59477,24773,90097,91182,49546,91182,116545,25363,166703
4125,59476,24772,90095,91180,49544,91180,116540,25360,166701
4126,59475,24771,90093,91178,49542,91178,116535,25357,166700
4127,59474,24770,90091,91175,49540,91175,116530,25355,166699
4128,59473,24769,90089,91173,49538,91173,116525,25352,166697
4129,59472,24768,90088,91171,49536,91171,116520,25349,166696
4130,59471,24767,90086,91169,49534,91169,116515,25346,166694
4131,59470,24766,90084,91167,49532,91167,116510,25343,166693
4132,59469,24765,90082,91164,49530,91164,116505,25341,166692
4133,59468,24764,90080,91162,49528,91162,116500,25338,166690
4134,59467,24763,90078,91160,49526,91160,116495,25335,166689
4135,59466,24762,90077,91158,49524,91158,116490,25332,166687
4136,59465,24761,90075,91156,49522,91156,116485,25329,166686
4137,59464,24760,90073,91153,49520,91153,116480,25327,166685
4138,59463,24759,90071,91151,49518,91151,116475,25324,166683
4139,59462,24758,90069,91149,49516,91149,116470,25321,166682
4140,59461,24757,90068,91147,49514,91147,116465,25318,166680
4141,59460,24756,90066,91145,49512,91145,116460,25315,166679
4142,59459,24755,90064,91142,49510,91142,116455,25313,166678
4143,59458,24754,90062,91140,49508,91140,116450,25310,166676
4144,59457,24753,90060,91138,49506,91138,116445,25307,166675
4145,59456,24752,90058,91136,49504,91136,116440,25304,166673
4146,59455,24751,90057,91134,49502,91134,116435,25301,166672
4147,59454,24750,90055,91131,49500,91131,116430,25299,166671
4148,59453,24749,90053,91129,49498,91129,116425,25296,166669
4149,59452,24748,90051,91127,49496,91127,116420,25293,166668
4150,59451,24747,90049,91125,49494,91125,116415,25290,166666
4151,59450,24746,90048,91123,49492,91123,116410,25287,166665
4152,59449,24745,90046,91120,49490,91120,116405,25285,166664
4153,59448,24744,90044,91118,49488,91118,116400,25282,166662
4154,59447,24743,90042,91116,49486,91116,116395,25279,166661
4155,59446,24742,90040,91114,49484,91114,116390,25276,166659
4156,59445,24741,90038,91112,49482,91112,116385,25273,166658
4157,59444,24740,90037,91109,49480,91109,116380,25271,166657
4158,59443,24739,90035,91107,49478,91107,116375,25268,166655
4159,59442,24738,90033,91105,49476,91105,116370,25265,166654
4160,59441,24737,90031,91103,49474,91103,116365,25262,166652
4161,59440,24736,90029,91101,49472,91101,116360,25259,166651
4162,59439,24735,90027,91098,49470,91098,116355,25257,166650
4163,59438,24734,90026,91096,49468,91096,116350,25254,166648
4164,59437,24733,90024,91094,49466,91094,116345,25251,166647
4165,59436,24732,90022,91092,49464,91092,116340,25248,166645
4166,59435,24731,90020,91090,49462,91090,116335,25245,166644
4167,59434,24730,90018,91087,49460,91087,116330,25243,166643
4168,59433,24729,90017,91085,49458,91085,116325,25240,166641
4169,59432,24728,90015,91083,49456,91083,116320,25237,166640
4170,59431,24727,90013,91081,49454,91081,116315,25234,166638
4171,59430,24726,90011,91079,49452,91079,116310,25231,166637
4172,59429,24725,90009,91076,49450,91076,116305,25229,166636
4173,59428,24724,90007,91074,49448,91074,116300,25226,166634
4174,59427,24723,90006,91072,49446,91072,116295,25223,166633
4175,59426,24722,90004,91070,49444,91070,116290,25220,166631
4176,59425,24721,90002,91068,49442,91068,116285,25217,166630
4177,59424,24720,90000,91065,49440,91065,116280,25215,166629
4178,59423,24719,89998,91063,49438,91063,116275,25212,166627
4179,59422,24718,89997,91061,49436,91061,116270,25209,166626
4180,59421,24717,89995,91059,49434,91059,116265,25206,166624
4181,59420,24716,89993,91057,49432,91057,116260,25203,166623
4182,59419,24715,89991,91054,49430,91054,116255,25201,166622
4183,59418,24714,89989,91052,49428,91052,116250,25198,166620
4184,59417,24713,89987,91050,49426,91050,116245,25195,166619
4185,59416,24712,89986,91048,49424,91048,116240,25192,166617
4186,59415,24711,89984,91046,49422,91046,116235,25189,166616
4187,59414,24710,89982,91043,49420,91043,116230,25187,166615
4188,59413,24709,89980,91041,49418,91041,116225,25184,166613
4189,59412,24708,89978,91039,49416,91039,116220,25181,166612
4190,59411,24707,89977,91037,49414,91037,116215,25178,166610
4191,59410,24706,89975,91034,49412,91034,116210,25176,166609
4192,59409,24705,89973,91032,49410,91032,116205,25173,166608
4193,59408,24704,89971,91030,49408,91030,116200,25170,166606
4194,59407,24703,89969,91028,49406,91028,116195,25167,166605
4195,59406,24702,89967,91026,49404,91026,116190,25164,166603
4196,59405,24701,89966,91023,49402,91023,116185,25162,166602
4197,59404,24700,89964,91021,49400,91021,116180,25159,166601
4198,59403,24699,89962,91019,49398,91019,116175,25156,166599
4199,59402,24698,89960,91017,49396,91017,116170,25153,166598
4200,59401,24697,89958,91015,49394,91015,116165,25150,166596
4201,59400,24696,89956,91012,49392,91012,116160,25148,166595
4202,59399,24695,89955,91010,49390,91010,116155,25145,166594
4203,59398,24694,89953,91008,49388,91008,116150,25142,166592
4204,59397,24693,89951,91006,49386,91006,116145,25139,166591
4205,59396,24692,89949,91004,49384,91004,116140,25136,166589
4206,59395,24691,89947,91001,49382,91001,116135,25134,166588
4207,59394,24690,89946,90999,49380,90999,116130,25131,166587
4208,59393,24689,89944,90997,49378,90997,116125,25128,166585
4209,59392,24688,89942,90995,49376,90995,116120,25125,166584
4210,59391,24687,89940,90993,49374,90993,116115,25122,166582
4211,59390,24686,89938,90990,49372,90990,116110,25120,166581
4212,59389,24685,89936,90988,49370,90988,116105,25117,166580
4213,59388,24684,89935,90986,49368,90986,116100,25114,166578
4214,59387,24683,89933,90984,49366,90984,116095,25111,166577
4215,59386,24682,89931,90982,49364,90982,116090,25108,166575
4216,59385,24681,89929,90979,49362,90979,116085,25106,166574
4217,59384,24680,89927,90977,49360,90977,116080,25103,166573
4218,59383,24679,89926,90975,49358,90975,116075,25100,166571
4219,59382,24678,89924,90973,49356,90973,116070,25097,166570
4220,59381,24677,89922,90971,49354,90971,116065,25094,166568
4221,59380,24676,89920,90968,49352,90968,116060,25092,166567
4222,59379,24675,89918,90966,49350,90966,116055,25089,166566
4223,59378,24674,89916,90964,49348,90964,116050,25086,166564
4224,59377,24673,89915,90962,49346,90962,116045,25083,166563
4225,59376,24672,89913,90960,49344,90960,116040,25080,166561
4226,59375,24671,89911,90957,49342,90957,116035,25078,166560
4227,59374,24670,89909,90955,49340,90955,116030,25075,166559
4228,59373,24669,89907,90953,49338,90953,116025,25072,166557
4229,59372,24668,89905,90951,49336,90951,116020,25069,166556
4230,59371,24667,89904,90949,49334,90949,116015,25066,166554
4231,59370,24666,89902,90946,49332,90946,116010,25064,166553
4232,59369,24665,89900,90944,49330,90944,116005,25061,166552
4233,59368,24664,89898,90942,49328,90942,116000,25058,166550
4234,59367,24663,89896,90940,49326,90940,115995,25055,166549
4235,59366,24662,89895,90938,49324,90938,115990,25052,166547
4236,59365,24661,89893,90935,49322,90935,115985,25050,166546
4237,59364,24660,89891,90933,49320,90933,115980,25047,166545
4238,59363,24659,89889,90931,49318,90931,115975,25044,166543
4239,59362,24658,89887,90929,49316,90929,115970,25041,166542
4240,59361,24657,89885,90927,49314,90927,115965,25038,166540
4241,59360,24656,89884,90924,49312,90924,115960,25036,166539
4242,59359,24655,89882,90922,49310,90922,115955,25033,166538
4243,59358,24654,89880,90920,49308,90920,115950,25030,166536
4244,59357,24653,89878,90918,49306,90918,115945,25027,166535
4245,59356,24652,89876,90916,49304,90916,115940,25024,166533
4246,59355,24651,89874,90913,49302,90913,115935,25022,166532
4247,59354,24650,89873,90911,49300,90911,115930,25019,166531
4248,59353,24649,89871,90909,49298,90909,115925,25016,166529
4249,59352,24648,89869,90907,49296,90907,115920,25013,166528
4250,59351,24647,89867,90904,49294,90904,115915,25011,166527
4251,59350,24646,89865,90902,49292,90902,115910,25008,166525
4252,59349,24645,89864,90900,49290,90900,115905,25005,166524
4253,59348,24644,89862,90898,49288,90898,115900,25002,166522
4254,59347,24643,89860,90896,49286,90896,115895,24999,166521
4255,59346,24642,89858,90893,49284,90893,115890,24997,166520
4256,59345,24641,89856,90891,49282,90891,115885,24994,166518
4257,59344,24640,89854,90889,49280,90889,115880,24991,166517
4258,59343,24639,89853,90887,49278,90887,115875,24988,166515
4259,59342,24638,89851,90885,49276,90885,115870,24985,166514
4260,59341,24637,89849,90882,49274,90882,115865,24983,166513
4261,59340,24636,89847,90880,49272,90880,115860,24980,166511
4262,59339,24635,89845,90878,49270,90878,115855,24977,166510
4263,59338,24634,89843,90876,49268,90876,115850,24974,166508
4264,59337,24633,89842,90874,49266,90874,115845,24971,166507
4265,59336,24632,89840,90871,49264,90871,115840,24969,166506
4266,59335,24631,89838,90869,49262,90869,115835,24966,166504
4267,59334,24630,89836,90867,49260,90867,115830,24963,166503
4268,59333,24629,89834,90865,49258,90865,115825,24960,166501
4269,59332,24628,89833,90863,49256,90863,115820,24957,166500
4270,59331,24627,89831,90860,49254,90860,115815,24955,166499
4271,59330,24626,89829,90858,49252,90858,115810,24952,166497
4272,59329,24625,89827,90856,49250,90856,115805,24949,166496
4273,59328,24624,89825,90854,49248,90854,115800,24946,166494
4274,59327,24623,89823,90852,49246,90852,115795,24943,166493
4275,59326,24622,89822,90849,49244,90849,115790,24941,166492
4276,59325,24621,89820,90847,49242,90847,115785,24938,166490
4277,59324,24620,89818,90845,49240,90845,115780,24935,166489
4278,59323,24619,89816,90843,49238,90843,115775,24932,166487
4279,59322,24618,89814,90841,49236,90841,115770,24929,166486
4280,59321,24617,89812,90838,49234,90838,115765,24927,166485
4281,59320,24616,89811,90836,49232,90836,115760,24924,166483
4282,59319,24615,89809,90834,49230,90834,115755,24921,166482
4283,59318,24614,89807,90832,49228,90832,115750,24918,166480
4284,59317,24613,89805,90829,49226,90829,115745,24916,166479
4285,59316,24612,89803,90827,49224,90827,115740,24913,166478
4286,59315,24611,89802,90825,49222,90825,115735,24910,166476
4287,59314,24610,89800,90823,49220,90823,115730,24907,166475
4288,59313,24609,89798,90821,49218,90821,115725,24904,166473
4289,59312,24608,89796,90818,49216,90818,115720,24902,166472
4290,59311,24607,89794,90816,49214,90816,115715,24899,166471
4291,59310,24606,89792,90814,49212,90814,115710,24896,166469
4292,59309,24605,89791,90812,49210,90812,115705,24893,166468
4293,59308,24604,89789,90810,49208,90810,115700,24890,166466
4294,59307,24603,89787,90807,49206,90807,115695,24888,166465
4295,59306,24602,89785,90805,49204,90805,115690,24885,166464
4296,59305,24601,89783,90803,49202,90803,115685,24882,166462
4297,59304,24600,89781,90801,49200,90801,115680,24879,166461
4298,59303,24599,89780,90799,49198,90799,115675,24876,166459
4299,59302,24598,89778,90796,49196,90796,115670,24874,166458
4300,59301,24597,89776,90794,49194,90794,115665,24871,166457
4301,59300,24596,89774,90792,49192,90792,115660,24868,166455
4302,59299,24595,89772,90790,49190,90790,115655,24865,166454
4303,59298,24594,89771,90788,49188,90788,115650,24862,166452
4304,59297,24593,89769,90785,49186,90785,115645,24860,166451
4305,59296,24592,89767,90783,49184,90783,115640,24857,166450
4306,59295,24591,89765,90781,49182,90781,115635,24854,166448
4307,59294,24590,89763,90779,49180,90779,115630,24851,166447
4308,59293,24589,89761,90777,49178,90777,115625,24848,166445
4309,59292,24588,89760,90774,49176,90774,115620,24846,166444
4310,59291,24587,89758,90772,49174,90772,115615,24843,166443
4311,59290,24586,89756,90770,49172,90770,115610,24840,166441
4312,59289,24585,89754,90768,49170,90768,115605,24837,166440
4313,59288,24584,89752,90766,49168,90766,115600,24834,166438
4314,59287,24583,89750,90763,49166,90763,115595,24832,166437
