p,n,k,agreement_size,template,seed,supports_checked,fiber_size,fiber_density,interpolation_floor,nontrivial_locator_constraint,nontrivial_quotient_orders,quotient_periodic_valid_support_counts,status,json_file
5,4,2,3,monomial,null,4,0,0.0,False,True,2,2:0,EXPERIMENTAL,locator_p5_monomial.json
5,4,2,3,zero,null,4,4,1.0,False,True,2,2:0,EXPERIMENTAL,locator_p5_zero.json
