a,delta,delta_float,denominator,eta_float,gap_to_capacity_eta,id,k,n,notes,numerator_lower,q_base,q_line,r,rho,score_bits,sigma,source,status,verdict
1099511627778,8246337208319/8796093022208,0.9374999999998863,6277101735386680763835789423207666416102355972229615845377,1.1368683772161603e-13,1/8796093022208,prime192-rho1_16-k2^40-paperD-N17592186044416,1099511627776,17592186044416,Cap divisor N=17592186044416; delta <= 8246337208319/8796093022208; hypothesis margin 5933669602502.516 bits; effective numerator from eps>(q-n)/(2kq).,2854495385411919762116571938898990272765493481,6277101735386680763835789423207666416102355972229615845377,6277101735386680763835789423207666416102355972229615845377,16492674416638,1/16,87.0,2,Paper D v5 universal cap (draft theorem),DRAFT_PAPER_D_V5,UNSAFE
1099511627778,3848290697215/4398046511104,0.8749999999997726,6277101735386680763835789423207666416102355787511662379009,2.2737367544323206e-13,1/4398046511104,prime192-rho1_8-k2^40-paperD-N8796093022208,1099511627776,8796093022208,Cap divisor N=8796093022208; delta <= 3848290697215/4398046511104; hypothesis margin 4781243405588.719 bits; effective numerator from eps>(q-n)/(2kq).,2854495385411919762116571938898990272765493401,6277101735386680763835789423207666416102355787511662379009,6277101735386680763835789423207666416102355787511662379009,7696581394430,1/8,87.0,2,Paper D v5 universal cap (draft theorem),DRAFT_PAPER_D_V5,UNSAFE
1099511627778,1649267441663/2199023255552,0.7499999999995453,6277101735386680763835789423207666416102355484046453112833,4.547473508864641e-13,1/2199023255552,prime192-rho1_4-k2^40-paperD-N4398046511104,1099511627776,4398046511104,Cap divisor N=4398046511104; delta <= 1649267441663/2199023255552; hypothesis margin 3568038924450.555 bits; effective numerator from eps>(q-n)/(2kq).,2854495385411919762116571938898990272765493265,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,3298534883326,1/4,87.0,2,Paper D v5 universal cap (draft theorem),DRAFT_PAPER_D_V5,UNSAFE
1099511627778,549755813887/1099511627776,0.4999999999990905,6277101735386680763835789423207666416102355484046453112833,9.094947017729282e-13,1/1099511627776,prime192-rho1_2-k2^40-paperD-N2199023255552,1099511627776,2199023255552,Cap divisor N=2199023255552; delta <= 549755813887/1099511627776; hypothesis margin 2199023255187.177 bits; effective numerator from eps>(q-n)/(2kq).,2854495385411919762116571938898990272765493266,6277101735386680763835789423207666416102355484046453112833,6277101735386680763835789423207666416102355484046453112833,1099511627774,1/2,87.0,2,Paper D v5 universal cap (draft theorem),DRAFT_PAPER_D_V5,UNSAFE
257,255/512,0.498046875,2367911594760467245844106297320951247361,0.001953125,1/512,F17^32-n512-k256-tangent-a257,256,512,Direct finite-slope support-wise MCA lower row; no CS25 import needed.,256,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,255,1/2,5.201189079989149,1,experiments.tex moving-root tangent lower floor,PROVED,UNSAFE
258,127/256,0.49609375,2367911594760467245844106297320951247361,0.00390625,1/256,F17^32-n512-k256-paperD-N512,256,512,Cap divisor N=512; delta <= 127/256; hypothesis margin 253.553 bits; effective numerator from eps>(q-n)/(2kq).,4624827333516537589539270111954982905,2367911594760467245844106297320951247361,2367911594760467245844106297320951247361,254,1/2,119.0,2,Paper D v5 universal cap (draft theorem),DRAFT_PAPER_D_V5,UNSAFE
